opportunity_id,account_id,created_date,expected_close_date,sales_rep,region,industry,segment,lead_source,stage,amount,probability,sales_cycle_days,weighted_pipeline
OPP-200028,ACC-10950,2025-06-05,2025-08-20,Rep 7,Southwest,Real Estate,SMB,Event,Negotiation,28100,0.72,76,20232.0
OPP-200029,ACC-13260,2023-10-31,2024-01-04,Rep 12,Southeast,Software,SMB,Outbound,Proposal,10700,0.56,65,5992.0
OPP-200030,ACC-13705,2025-05-21,2025-05-28,Rep 19,Northeast,Healthcare,SMB,Referral,Closed Lost,4400,0.0,7,0.0
OPP-200031,ACC-11544,2023-07-17,2023-07-23,Rep 33,Northeast,Real Estate,SMB,Referral,Qualified,17700,0.22,6,3894.0
OPP-200032,ACC-15127,2024-11-06,2025-01-05,Rep 33,Southwest,Education,Mid-Market,Partner,Qualified,16100,0.22,60,3542.0
OPP-200033,ACC-10897,2023-03-03,2023-04-13,Rep 8,Southwest,Real Estate,SMB,Partner,Qualified,3200,0.22,41,704.0
OPP-200034,ACC-15668,2023-09-09,2023-10-07,Rep 30,Southwest,Real Estate,SMB,Event,Negotiation,3700,0.72,28,2664.0
OPP-200035,ACC-13974,2025-06-05,2025-07-22,Rep 12,Northeast,Education,Mid-Market,Outbound,Qualified,24500,0.22,47,5390.0
OPP-200036,ACC-15891,2024-11-06,2025-01-12,Rep 18,Southeast,Retail,Enterprise,Outbound,Qualified,55300,0.22,67,12166.0
OPP-200037,ACC-14252,2024-09-14,2024-11-30,Rep 11,West,Healthcare,Mid-Market,Partner,Negotiation,52000,0.72,77,37440.0
OPP-200038,ACC-12324,2024-07-02,2024-08-29,Rep 36,Southeast,Retail,Mid-Market,Inbound,Qualified,74800,0.22,58,16456.0
OPP-200039,ACC-15008,2025-06-06,2025-07-10,Rep 19,Midwest,Logistics,SMB,Outbound,Lead,7800,0.08,34,624.0
OPP-200040,ACC-12872,2025-04-26,2025-05-13,Rep 3,Northeast,Manufacturing,SMB,Paid Search,Demo,10800,0.38,17,4104.0
OPP-200041,ACC-13657,2025-03-12,2025-04-12,Rep 37,West,Logistics,SMB,Partner,Demo,4200,0.38,31,1596.0
OPP-200042,ACC-13333,2024-02-17,2024-04-17,Rep 39,West,Healthcare,SMB,Partner,Negotiation,9000,0.72,60,6480.0
OPP-200043,ACC-12379,2025-02-27,2025-04-03,Rep 27,Southeast,Software,Mid-Market,Event,Negotiation,23800,0.72,35,17136.0
OPP-200044,ACC-12677,2023-11-21,2024-01-23,Rep 32,Southeast,Software,SMB,Inbound,Proposal,23300,0.56,63,13048.0
OPP-200045,ACC-11290,2023-08-17,2023-09-12,Rep 34,Northeast,Manufacturing,SMB,Outbound,Closed Won,13300,1.0,26,13300.0
OPP-200046,ACC-14695,2024-12-04,2025-01-30,Rep 22,Midwest,Real Estate,Enterprise,Partner,Negotiation,126800,0.72,57,91296.0
OPP-200047,ACC-13674,2023-08-28,2023-09-16,Rep 41,West,Real Estate,SMB,Referral,Proposal,11000,0.56,19,6160.0
OPP-200048,ACC-11502,2024-04-21,2024-07-13,Rep 21,Southwest,Software,Enterprise,Referral,Proposal,31400,0.56,83,17584.0
OPP-200049,ACC-13706,2025-05-11,2025-06-09,Rep 7,Southeast,Manufacturing,SMB,Inbound,Demo,9000,0.38,29,3420.0
OPP-200050,ACC-13028,2023-06-30,2023-08-02,Rep 10,Southeast,Logistics,SMB,Event,Closed Lost,5900,0.0,33,0.0
OPP-200051,ACC-11247,2023-01-13,2023-03-15,Rep 32,Southeast,Logistics,Mid-Market,Outbound,Qualified,57300,0.22,61,12606.0
OPP-200052,ACC-15412,2023-05-21,2023-07-21,Rep 6,West,Logistics,Enterprise,Inbound,Qualified,90700,0.22,61,19954.0
OPP-200053,ACC-15932,2025-04-24,2025-07-15,Rep 21,Northeast,Education,Mid-Market,Inbound,Negotiation,28600,0.72,82,20592.0
OPP-200054,ACC-10878,2025-03-26,2025-03-29,Rep 37,Northeast,Software,SMB,Event,Proposal,16500,0.56,3,9240.0
OPP-200055,ACC-11723,2024-11-26,2025-02-20,Rep 35,Southwest,Healthcare,SMB,Referral,Proposal,32600,0.56,86,18256.0
OPP-200056,ACC-12265,2024-10-10,2024-11-20,Rep 4,Northeast,Software,SMB,Outbound,Closed Won,10300,1.0,41,10300.0
OPP-200057,ACC-14337,2023-12-04,2024-01-07,Rep 25,Midwest,Healthcare,SMB,Referral,Closed Lost,8400,0.0,34,0.0
OPP-200058,ACC-10127,2023-01-06,2023-01-29,Rep 12,Midwest,Real Estate,SMB,Event,Lead,7000,0.08,23,560.0
OPP-200059,ACC-12503,2023-07-08,2023-07-12,Rep 10,Southeast,Logistics,SMB,Paid Search,Closed Won,6600,1.0,4,6600.0
OPP-200060,ACC-12704,2023-10-03,2023-10-17,Rep 32,Midwest,Real Estate,SMB,Paid Search,Closed Won,20300,1.0,14,20300.0
OPP-200061,ACC-11743,2024-10-29,2024-12-27,Rep 3,Northeast,Manufacturing,SMB,Inbound,Demo,5000,0.38,59,1900.0
OPP-200062,ACC-11449,2023-08-25,2023-09-24,Rep 11,Midwest,Retail,Mid-Market,Inbound,Demo,24300,0.38,30,9234.0
OPP-200063,ACC-11798,2024-10-18,2024-11-07,Rep 6,West,Logistics,SMB,Referral,Demo,6700,0.38,20,2546.0
OPP-200064,ACC-14844,2023-08-31,2023-09-08,Rep 13,Southwest,Manufacturing,SMB,Event,Closed Won,17900,1.0,8,17900.0
OPP-200065,ACC-13927,2024-04-20,2024-06-21,Rep 35,Southwest,Healthcare,Enterprise,Inbound,Closed Lost,82900,0.0,62,0.0
OPP-200066,ACC-10920,2025-06-16,2025-08-30,Rep 2,Northeast,Software,Mid-Market,Referral,Negotiation,59900,0.72,75,43128.0
OPP-200067,ACC-11917,2023-03-02,2023-03-16,Rep 25,West,Software,SMB,Outbound,Demo,10900,0.38,14,4142.0
OPP-200068,ACC-15709,2024-07-04,2024-09-19,Rep 20,Midwest,Manufacturing,Enterprise,Inbound,Demo,286400,0.38,77,108832.0
OPP-200069,ACC-10258,2023-01-11,2023-02-08,Rep 40,Midwest,Healthcare,SMB,Outbound,Negotiation,24000,0.72,28,17280.0
OPP-200070,ACC-14585,2024-12-04,2025-03-13,Rep 27,Southwest,Retail,Enterprise,Outbound,Closed Lost,465300,0.0,99,0.0
OPP-200071,ACC-13136,2023-10-12,2023-12-28,Rep 10,Northeast,Real Estate,Enterprise,Referral,Closed Lost,233800,0.0,77,0.0
OPP-200072,ACC-14942,2024-08-09,2024-10-04,Rep 15,Midwest,Manufacturing,Mid-Market,Referral,Closed Won,38400,1.0,56,38400.0
OPP-200073,ACC-15558,2024-07-27,2024-09-04,Rep 24,Southwest,Logistics,Mid-Market,Inbound,Lead,112200,0.08,39,8976.0
OPP-200074,ACC-14963,2023-12-01,2024-01-03,Rep 24,Southwest,Real Estate,Mid-Market,Referral,Negotiation,70600,0.72,33,50832.0
OPP-200075,ACC-10113,2023-02-10,2023-03-26,Rep 29,Southeast,Real Estate,SMB,Paid Search,Proposal,33700,0.56,44,18872.0
OPP-200076,ACC-10491,2024-10-04,2024-11-10,Rep 38,Northeast,Retail,SMB,Referral,Negotiation,8000,0.72,37,5760.0
OPP-200077,ACC-15551,2023-07-13,2023-10-07,Rep 12,Northeast,Education,Mid-Market,Referral,Demo,37400,0.38,86,14212.0
OPP-200078,ACC-11852,2025-03-09,2025-04-27,Rep 1,Northeast,Software,Mid-Market,Referral,Negotiation,12400,0.72,49,8928.0
OPP-200079,ACC-13189,2023-02-08,2023-06-02,Rep 34,Northeast,Retail,Mid-Market,Event,Negotiation,35300,0.72,114,25416.0
OPP-200080,ACC-13952,2023-05-17,2023-08-08,Rep 9,Northeast,Real Estate,Mid-Market,Partner,Lead,53800,0.08,83,4304.0
OPP-200081,ACC-14292,2025-03-31,2025-06-03,Rep 20,Southwest,Healthcare,Mid-Market,Referral,Negotiation,22700,0.72,64,16344.0
OPP-200082,ACC-10339,2023-10-01,2023-11-06,Rep 38,Southeast,Software,Mid-Market,Outbound,Lead,15700,0.08,36,1256.0
OPP-200083,ACC-10517,2023-05-05,2023-06-04,Rep 15,Southeast,Software,SMB,Event,Demo,4500,0.38,30,1710.0
OPP-200084,ACC-15918,2023-02-10,2023-03-30,Rep 41,Midwest,Education,Mid-Market,Outbound,Proposal,188300,0.56,48,105448.0
OPP-200085,ACC-13784,2024-01-28,2024-04-15,Rep 7,Midwest,Logistics,Enterprise,Event,Closed Lost,113400,0.0,78,0.0
OPP-200086,ACC-14906,2023-01-01,2023-01-25,Rep 33,Southwest,Software,SMB,Outbound,Qualified,2200,0.22,24,484.0
OPP-200087,ACC-15606,2024-01-15,2024-02-10,Rep 21,Southeast,Manufacturing,SMB,Paid Search,Proposal,13100,0.56,26,7336.0
OPP-200088,ACC-14168,2024-11-03,2024-11-29,Rep 32,Midwest,Education,SMB,Paid Search,Demo,5700,0.38,26,2166.0
OPP-200089,ACC-13041,2023-02-26,2023-04-08,Rep 18,Southwest,Healthcare,Mid-Market,Event,Proposal,40600,0.56,41,22736.0
OPP-200090,ACC-15364,2023-05-05,2023-06-06,Rep 38,West,Software,SMB,Outbound,Closed Won,2600,1.0,32,2600.0
OPP-200091,ACC-12765,2023-07-12,2023-08-20,Rep 27,West,Education,SMB,Event,Lead,20900,0.08,39,1672.0
OPP-200092,ACC-13173,2023-09-18,2023-10-11,Rep 1,Southwest,Software,SMB,Event,Demo,5900,0.38,23,2242.0
OPP-200093,ACC-12063,2025-04-09,2025-05-16,Rep 25,Southwest,Manufacturing,SMB,Outbound,Negotiation,1300,0.72,37,936.0
OPP-200094,ACC-12364,2023-10-08,2024-01-09,Rep 7,Midwest,Software,Mid-Market,Event,Negotiation,13400,0.72,93,9648.0
OPP-200095,ACC-12275,2024-01-19,2024-03-25,Rep 7,West,Manufacturing,Enterprise,Inbound,Proposal,36100,0.56,66,20216.0
OPP-200096,ACC-12946,2023-05-07,2023-06-18,Rep 33,Midwest,Healthcare,SMB,Referral,Qualified,7600,0.22,42,1672.0
OPP-200097,ACC-10211,2023-05-20,2023-06-05,Rep 12,Midwest,Manufacturing,SMB,Referral,Closed Won,17900,1.0,16,17900.0
OPP-200098,ACC-14155,2023-06-24,2023-07-23,Rep 19,Northeast,Finance,Mid-Market,Outbound,Demo,32900,0.38,29,12502.0
OPP-200099,ACC-10801,2023-04-26,2023-07-02,Rep 15,Northeast,Retail,Enterprise,Event,Proposal,233400,0.56,67,130704.0
OPP-200100,ACC-13892,2024-11-17,2024-12-24,Rep 11,Southwest,Software,SMB,Referral,Demo,5800,0.38,37,2204.0
OPP-200101,ACC-13007,2025-02-01,2025-03-19,Rep 37,West,Real Estate,SMB,Paid Search,Negotiation,6300,0.72,46,4536.0
OPP-200102,ACC-15990,2024-01-17,2024-02-05,Rep 4,Southwest,Manufacturing,SMB,Event,Demo,3800,0.38,19,1444.0
OPP-200103,ACC-12674,2023-03-21,2023-05-20,Rep 2,West,Education,Enterprise,Event,Lead,167000,0.08,60,13360.0
OPP-200104,ACC-13967,2023-05-11,2023-06-02,Rep 16,Southwest,Retail,SMB,Partner,Negotiation,11700,0.72,22,8424.0
OPP-200105,ACC-15594,2023-07-03,2023-09-13,Rep 13,Midwest,Manufacturing,Enterprise,Event,Lead,59800,0.08,72,4784.0
OPP-200106,ACC-15619,2025-06-18,2025-07-21,Rep 11,Southeast,Healthcare,SMB,Event,Qualified,7300,0.22,33,1606.0
OPP-200107,ACC-15570,2025-01-08,2025-04-17,Rep 8,West,Retail,Mid-Market,Outbound,Proposal,100000,0.56,99,56000.0
OPP-200108,ACC-11491,2023-08-11,2023-09-19,Rep 37,Southwest,Healthcare,Mid-Market,Event,Demo,65200,0.38,39,24776.0
OPP-200109,ACC-14216,2024-08-14,2024-11-09,Rep 41,Midwest,Education,Mid-Market,Paid Search,Demo,65400,0.38,87,24852.0
OPP-200110,ACC-15377,2024-11-29,2025-01-19,Rep 9,Northeast,Retail,Mid-Market,Outbound,Proposal,25100,0.56,51,14056.0
OPP-200111,ACC-12739,2025-01-03,2025-04-10,Rep 35,Northeast,Logistics,Enterprise,Outbound,Proposal,94000,0.56,97,52640.0
OPP-200112,ACC-14829,2023-11-19,2023-11-26,Rep 33,West,Education,SMB,Inbound,Closed Lost,11100,0.0,7,0.0
OPP-200113,ACC-15644,2023-05-04,2023-08-30,Rep 19,West,Real Estate,Enterprise,Partner,Demo,101100,0.38,118,38418.0
OPP-200114,ACC-13420,2023-07-11,2023-09-29,Rep 32,Northeast,Education,Enterprise,Outbound,Qualified,116200,0.22,80,25564.0
OPP-200115,ACC-12434,2023-08-28,2023-10-23,Rep 21,Southwest,Software,SMB,Inbound,Proposal,8200,0.56,56,4592.0
OPP-200116,ACC-12756,2023-02-07,2023-05-02,Rep 12,Southeast,Software,Enterprise,Paid Search,Proposal,332200,0.56,84,186032.0
OPP-200117,ACC-14848,2023-05-21,2023-08-22,Rep 7,Midwest,Finance,Enterprise,Inbound,Proposal,69600,0.56,93,38976.0
OPP-200118,ACC-14282,2024-12-31,2025-03-10,Rep 18,West,Software,Enterprise,Outbound,Closed Won,477600,1.0,69,477600.0
OPP-200119,ACC-10672,2025-03-11,2025-06-24,Rep 40,Northeast,Retail,Enterprise,Referral,Proposal,135200,0.56,105,75712.0
OPP-200120,ACC-14878,2023-03-28,2023-04-28,Rep 26,Southwest,Healthcare,Mid-Market,Inbound,Qualified,84900,0.22,31,18678.0
OPP-200121,ACC-14428,2025-05-18,2025-07-23,Rep 6,Northeast,Logistics,Mid-Market,Referral,Closed Lost,20500,0.0,66,0.0
OPP-200122,ACC-12307,2023-02-23,2023-04-30,Rep 6,Midwest,Manufacturing,SMB,Outbound,Closed Won,9400,1.0,66,9400.0
OPP-200123,ACC-10804,2024-09-06,2024-12-29,Rep 38,Southwest,Manufacturing,Enterprise,Inbound,Closed Won,130900,1.0,114,130900.0
OPP-200124,ACC-13009,2023-12-14,2024-05-01,Rep 15,Southeast,Education,Enterprise,Inbound,Closed Won,185000,1.0,139,185000.0
OPP-200125,ACC-14568,2024-11-29,2025-03-20,Rep 10,Southeast,Retail,Enterprise,Inbound,Proposal,390800,0.56,111,218848.0
OPP-200126,ACC-13987,2023-04-05,2023-05-26,Rep 1,Southeast,Real Estate,SMB,Paid Search,Closed Lost,5600,0.0,51,0.0
OPP-200127,ACC-13830,2023-12-03,2023-12-09,Rep 40,Southeast,Healthcare,SMB,Outbound,Proposal,4900,0.56,6,2744.0
OPP-200128,ACC-13453,2024-05-05,2024-06-03,Rep 33,Midwest,Manufacturing,Mid-Market,Inbound,Proposal,21500,0.56,29,12040.0
OPP-200129,ACC-13436,2024-10-18,2025-02-23,Rep 20,Southeast,Retail,Enterprise,Referral,Closed Won,87100,1.0,128,87100.0
OPP-200130,ACC-13891,2024-11-09,2025-01-01,Rep 12,Northeast,Retail,SMB,Outbound,Proposal,17500,0.56,53,9800.0
OPP-200131,ACC-13129,2025-04-12,2025-04-24,Rep 35,Northeast,Logistics,SMB,Paid Search,Qualified,23600,0.22,12,5192.0
OPP-200132,ACC-14733,2023-04-01,2023-06-04,Rep 19,Southwest,Real Estate,Enterprise,Event,Negotiation,112300,0.72,64,80856.0
OPP-200133,ACC-12215,2024-10-30,2024-12-03,Rep 16,Southwest,Finance,SMB,Event,Closed Won,23900,1.0,34,23900.0
OPP-200134,ACC-11164,2024-10-13,2025-01-17,Rep 21,Southwest,Healthcare,Enterprise,Event,Qualified,525600,0.22,96,115632.0
OPP-200135,ACC-15726,2025-05-10,2025-08-23,Rep 8,West,Education,Enterprise,Outbound,Demo,125300,0.38,105,47614.0
OPP-200136,ACC-10881,2024-12-29,2025-01-27,Rep 42,Southwest,Education,SMB,Outbound,Proposal,13800,0.56,29,7728.0
OPP-200137,ACC-10796,2024-09-25,2024-10-14,Rep 42,Southeast,Real Estate,SMB,Paid Search,Closed Won,13300,1.0,19,13300.0
OPP-200138,ACC-10773,2023-11-08,2023-12-07,Rep 8,Southeast,Retail,SMB,Partner,Proposal,4300,0.56,29,2408.0
OPP-200139,ACC-14817,2024-10-01,2025-01-15,Rep 37,West,Finance,Enterprise,Event,Demo,83400,0.38,106,31692.0
OPP-200140,ACC-12565,2024-04-24,2024-07-19,Rep 39,Northeast,Healthcare,Enterprise,Inbound,Proposal,64300,0.56,86,36008.0
OPP-200141,ACC-12341,2025-03-18,2025-06-01,Rep 35,Southeast,Finance,Mid-Market,Outbound,Closed Lost,15100,0.0,75,0.0
OPP-200142,ACC-14766,2025-06-08,2025-07-24,Rep 6,Southeast,Logistics,Mid-Market,Paid Search,Proposal,29500,0.56,46,16520.0
OPP-200143,ACC-12728,2024-05-12,2024-08-08,Rep 27,Northeast,Real Estate,Mid-Market,Referral,Demo,56800,0.38,88,21584.0
OPP-200144,ACC-10537,2023-09-05,2023-12-17,Rep 2,West,Software,Enterprise,Inbound,Qualified,109800,0.22,103,24156.0
OPP-200145,ACC-14088,2024-11-11,2024-12-18,Rep 7,Midwest,Retail,SMB,Outbound,Negotiation,11200,0.72,37,8064.0
OPP-200146,ACC-14477,2024-08-31,2024-11-15,Rep 42,Southeast,Finance,Mid-Market,Referral,Negotiation,43000,0.72,76,30960.0
OPP-200147,ACC-14983,2025-02-04,2025-03-30,Rep 7,Southeast,Logistics,Mid-Market,Outbound,Closed Lost,56100,0.0,54,0.0
OPP-200148,ACC-12008,2023-04-21,2023-07-07,Rep 23,Midwest,Real Estate,Enterprise,Outbound,Closed Won,26600,1.0,77,26600.0
OPP-200149,ACC-13856,2023-10-10,2023-12-02,Rep 14,West,Retail,SMB,Partner,Negotiation,4000,0.72,53,2880.0
OPP-200150,ACC-15797,2025-01-19,2025-03-23,Rep 8,Southwest,Healthcare,Enterprise,Paid Search,Qualified,268400,0.22,63,59048.0
OPP-200151,ACC-13787,2025-04-13,2025-07-26,Rep 28,West,Education,Enterprise,Inbound,Demo,247000,0.38,104,93860.0
OPP-200152,ACC-14691,2024-12-08,2025-01-27,Rep 29,Midwest,Healthcare,SMB,Paid Search,Proposal,4900,0.56,50,2744.0
OPP-200153,ACC-11519,2023-02-23,2023-05-01,Rep 6,Southwest,Healthcare,Mid-Market,Event,Qualified,79800,0.22,67,17556.0
OPP-200154,ACC-14355,2024-11-14,2025-01-19,Rep 19,Southeast,Logistics,Mid-Market,Event,Lead,54100,0.08,66,4328.0
OPP-200155,ACC-11311,2023-04-23,2023-05-06,Rep 1,Southwest,Healthcare,Mid-Market,Partner,Closed Won,15400,1.0,13,15400.0
OPP-200156,ACC-10488,2023-11-05,2024-02-19,Rep 36,Northeast,Logistics,Enterprise,Event,Closed Lost,214800,0.0,106,0.0
OPP-200157,ACC-14309,2024-06-18,2024-08-18,Rep 9,Southwest,Software,Mid-Market,Inbound,Proposal,15200,0.56,61,8512.0
OPP-200158,ACC-15163,2025-04-14,2025-04-24,Rep 2,Northeast,Software,SMB,Paid Search,Demo,12200,0.38,10,4636.0
OPP-200159,ACC-10989,2024-02-21,2024-03-06,Rep 17,Midwest,Education,SMB,Paid Search,Closed Won,32600,1.0,14,32600.0
OPP-200160,ACC-13154,2024-11-11,2024-12-19,Rep 23,Midwest,Manufacturing,SMB,Event,Closed Won,7800,1.0,38,7800.0
OPP-200161,ACC-11659,2024-01-25,2024-04-10,Rep 10,Southeast,Education,Mid-Market,Outbound,Qualified,22000,0.22,76,4840.0
OPP-200162,ACC-13122,2024-10-25,2025-01-30,Rep 41,Midwest,Education,Mid-Market,Outbound,Qualified,41000,0.22,97,9020.0
OPP-200163,ACC-13637,2023-01-31,2023-04-07,Rep 41,Northeast,Logistics,SMB,Inbound,Qualified,8000,0.22,66,1760.0
OPP-200164,ACC-10089,2023-01-27,2023-02-10,Rep 40,Southeast,Healthcare,SMB,Paid Search,Closed Won,5600,1.0,14,5600.0
OPP-200165,ACC-12427,2024-07-14,2024-07-18,Rep 13,Northeast,Finance,SMB,Referral,Proposal,10900,0.56,4,6104.0
OPP-200166,ACC-12886,2024-10-09,2024-11-18,Rep 12,Southwest,Healthcare,SMB,Inbound,Closed Won,2300,1.0,40,2300.0
OPP-200167,ACC-11252,2024-12-23,2025-02-20,Rep 32,Southwest,Education,Mid-Market,Outbound,Qualified,29500,0.22,59,6490.0
OPP-200168,ACC-15879,2023-07-15,2023-07-18,Rep 28,Midwest,Real Estate,SMB,Inbound,Negotiation,6700,0.72,3,4824.0
OPP-200169,ACC-14473,2025-02-24,2025-04-02,Rep 24,Midwest,Healthcare,SMB,Referral,Proposal,3000,0.56,37,1680.0
OPP-200170,ACC-13601,2023-05-29,2023-09-13,Rep 42,Midwest,Education,Enterprise,Partner,Closed Lost,240600,0.0,107,0.0
OPP-200171,ACC-10763,2024-12-07,2024-12-21,Rep 37,Southeast,Real Estate,SMB,Outbound,Proposal,16400,0.56,14,9184.0
OPP-200172,ACC-10928,2023-07-29,2023-08-08,Rep 40,West,Manufacturing,SMB,Referral,Demo,12600,0.38,10,4788.0
OPP-200173,ACC-13296,2024-04-11,2024-05-09,Rep 9,Northeast,Real Estate,SMB,Partner,Proposal,3300,0.56,28,1848.0
OPP-200174,ACC-15435,2024-01-18,2024-02-25,Rep 41,West,Manufacturing,SMB,Outbound,Negotiation,7600,0.72,38,5472.0
OPP-200175,ACC-13754,2025-01-17,2025-02-26,Rep 9,Southeast,Finance,SMB,Outbound,Closed Won,12000,1.0,40,12000.0
OPP-200176,ACC-14338,2023-02-22,2023-04-12,Rep 41,West,Education,SMB,Paid Search,Lead,3200,0.08,49,256.0
OPP-200177,ACC-12400,2023-11-19,2023-12-27,Rep 25,West,Healthcare,SMB,Inbound,Negotiation,11000,0.72,38,7920.0
OPP-200178,ACC-15737,2023-12-26,2024-02-06,Rep 27,Northeast,Finance,SMB,Paid Search,Negotiation,6100,0.72,42,4392.0
OPP-200179,ACC-12699,2024-12-05,2025-02-17,Rep 30,West,Finance,Mid-Market,Outbound,Lead,13300,0.08,74,1064.0
OPP-200180,ACC-12213,2024-09-25,2024-11-11,Rep 7,West,Finance,SMB,Outbound,Qualified,8100,0.22,47,1782.0
OPP-200181,ACC-10954,2025-02-19,2025-04-01,Rep 28,West,Real Estate,Mid-Market,Paid Search,Demo,23800,0.38,41,9044.0
OPP-200182,ACC-11444,2024-03-31,2024-04-27,Rep 5,Northeast,Education,SMB,Inbound,Closed Won,12800,1.0,27,12800.0
OPP-200183,ACC-11407,2023-05-26,2023-07-27,Rep 30,Midwest,Healthcare,SMB,Outbound,Proposal,27900,0.56,62,15624.0
OPP-200184,ACC-15894,2025-04-17,2025-06-09,Rep 40,West,Manufacturing,Mid-Market,Inbound,Closed Won,36800,1.0,53,36800.0
OPP-200185,ACC-12395,2023-11-15,2023-11-18,Rep 18,Midwest,Real Estate,SMB,Inbound,Proposal,10700,0.56,3,5992.0
OPP-200186,ACC-14173,2024-12-23,2025-04-19,Rep 2,Midwest,Healthcare,Enterprise,Outbound,Demo,99500,0.38,117,37810.0
OPP-200187,ACC-15315,2023-04-10,2023-05-24,Rep 15,Southeast,Manufacturing,Mid-Market,Outbound,Qualified,26500,0.22,44,5830.0
OPP-200188,ACC-11042,2023-01-23,2023-01-27,Rep 23,Southeast,Manufacturing,Mid-Market,Inbound,Closed Lost,17600,0.0,4,0.0
OPP-200189,ACC-11839,2024-08-13,2024-12-09,Rep 29,Midwest,Real Estate,Enterprise,Inbound,Demo,91800,0.38,118,34884.0
OPP-200190,ACC-15614,2023-05-14,2023-07-21,Rep 21,Northeast,Logistics,Enterprise,Event,Lead,33600,0.08,68,2688.0
