account_id,account_name,industry,region,segment,employee_count,created_date
ACC-10050,Manufacturing Client 51,Manufacturing,Midwest,Mid-Market,234,2022-06-20
ACC-10051,Manufacturing Client 52,Manufacturing,Northeast,Enterprise,1020,2022-07-18
ACC-10052,Logistics Client 53,Logistics,West,Mid-Market,143,2023-01-01
ACC-10053,Software Client 54,Software,Southwest,SMB,59,2023-01-05
ACC-10054,Manufacturing Client 55,Manufacturing,West,SMB,69,2024-02-29
ACC-10055,Healthcare Client 56,Healthcare,West,Enterprise,294,2022-12-02
ACC-10056,Software Client 57,Software,Southeast,SMB,101,2024-07-02
ACC-10057,Finance Client 58,Finance,Southwest,Mid-Market,438,2023-10-29
ACC-10058,Healthcare Client 59,Healthcare,Northeast,Mid-Market,260,2024-02-21
ACC-10059,Real Estate Client 60,Real Estate,Southeast,Mid-Market,442,2024-05-07
ACC-10060,Real Estate Client 61,Real Estate,Southeast,SMB,64,2022-06-29
ACC-10061,Software Client 62,Software,Southwest,SMB,42,2023-07-09
ACC-10062,Software Client 63,Software,Northeast,SMB,40,2022-02-25
ACC-10063,Finance Client 64,Finance,West,SMB,164,2024-03-11
ACC-10064,Education Client 65,Education,Northeast,SMB,102,2024-04-23
ACC-10065,Software Client 66,Software,Southwest,SMB,172,2024-05-04
ACC-10066,Manufacturing Client 67,Manufacturing,Northeast,Enterprise,3517,2023-03-24
ACC-10067,Logistics Client 68,Logistics,Southeast,Mid-Market,188,2024-03-12
ACC-10068,Real Estate Client 69,Real Estate,West,Enterprise,1997,2024-10-07
ACC-10069,Real Estate Client 70,Real Estate,Southeast,SMB,215,2023-11-29
ACC-10070,Logistics Client 71,Logistics,Southeast,SMB,37,2024-12-13
ACC-10071,Software Client 72,Software,Southeast,SMB,62,2023-11-27
ACC-10072,Software Client 73,Software,Southwest,SMB,84,2022-04-20
ACC-10073,Manufacturing Client 74,Manufacturing,Southeast,Mid-Market,819,2024-05-02
ACC-10074,Finance Client 75,Finance,Midwest,SMB,172,2022-04-09
ACC-10075,Software Client 76,Software,Midwest,SMB,16,2024-01-30
ACC-10076,Real Estate Client 77,Real Estate,Midwest,SMB,57,2023-10-01
ACC-10077,Healthcare Client 78,Healthcare,Southwest,SMB,73,2023-08-13
ACC-10078,Healthcare Client 79,Healthcare,Northeast,Mid-Market,452,2023-06-20
ACC-10079,Manufacturing Client 80,Manufacturing,West,Mid-Market,925,2022-05-15
ACC-10080,Real Estate Client 81,Real Estate,Southeast,Mid-Market,157,2024-02-01
ACC-10081,Software Client 82,Software,Northeast,Mid-Market,217,2022-03-28
ACC-10082,Education Client 83,Education,West,SMB,141,2022-07-08
ACC-10083,Healthcare Client 84,Healthcare,Southwest,SMB,161,2022-08-13
ACC-10084,Retail Client 85,Retail,Southwest,Enterprise,3948,2025-01-03
ACC-10085,Manufacturing Client 86,Manufacturing,West,SMB,66,2024-10-07
ACC-10086,Retail Client 87,Retail,Southwest,Mid-Market,957,2022-01-30
ACC-10087,Manufacturing Client 88,Manufacturing,Northeast,Enterprise,1175,2022-07-11
ACC-10088,Education Client 89,Education,West,SMB,49,2023-07-26
ACC-10089,Healthcare Client 90,Healthcare,Southeast,SMB,36,2024-09-06
ACC-10090,Real Estate Client 91,Real Estate,West,SMB,23,2023-11-13
ACC-10091,Logistics Client 92,Logistics,Southeast,SMB,28,2022-03-25
ACC-10092,Retail Client 93,Retail,Northeast,Enterprise,897,2024-10-08
ACC-10093,Logistics Client 94,Logistics,Northeast,Mid-Market,303,2022-08-04
ACC-10094,Logistics Client 95,Logistics,West,Mid-Market,495,2023-12-27
ACC-10095,Finance Client 96,Finance,Northeast,SMB,71,2023-10-22
ACC-10096,Software Client 97,Software,Southwest,Mid-Market,308,2023-05-23
ACC-10097,Real Estate Client 98,Real Estate,Southeast,SMB,361,2023-02-10
ACC-10098,Software Client 99,Software,Northeast,Mid-Market,129,2024-05-19
ACC-10099,Education Client 100,Education,Midwest,Mid-Market,359,2025-02-11
ACC-10100,Real Estate Client 101,Real Estate,West,Mid-Market,256,2024-01-08
ACC-10101,Real Estate Client 102,Real Estate,West,Mid-Market,445,2024-01-23
ACC-10102,Manufacturing Client 103,Manufacturing,Midwest,Enterprise,931,2022-06-03
ACC-10103,Logistics Client 104,Logistics,Northeast,Enterprise,690,2023-06-14
ACC-10104,Education Client 105,Education,Midwest,Mid-Market,576,2023-02-18
ACC-10105,Finance Client 106,Finance,West,Mid-Market,543,2022-01-03
ACC-10106,Healthcare Client 107,Healthcare,Northeast,Mid-Market,410,2022-04-27
ACC-10107,Education Client 108,Education,Southwest,Enterprise,570,2022-04-02
ACC-10108,Software Client 109,Software,Northeast,SMB,166,2024-10-05
ACC-10109,Healthcare Client 110,Healthcare,Southeast,Enterprise,1188,2022-08-25
ACC-10110,Software Client 111,Software,Northeast,SMB,50,2022-10-21
ACC-10111,Software Client 112,Software,Southwest,Mid-Market,753,2022-11-08
ACC-10112,Manufacturing Client 113,Manufacturing,Midwest,SMB,222,2022-07-18
ACC-10113,Real Estate Client 114,Real Estate,Southeast,SMB,121,2022-02-20
ACC-10114,Education Client 115,Education,Midwest,SMB,44,2024-09-28
ACC-10115,Logistics Client 116,Logistics,Southeast,Mid-Market,378,2024-03-31
ACC-10116,Real Estate Client 117,Real Estate,Southeast,Enterprise,2262,2022-02-07
ACC-10117,Education Client 118,Education,West,SMB,167,2023-06-18
ACC-10118,Retail Client 119,Retail,Midwest,Mid-Market,280,2022-04-09
ACC-10119,Retail Client 120,Retail,Northeast,Mid-Market,298,2023-08-15
ACC-10120,Real Estate Client 121,Real Estate,Southeast,Enterprise,635,2024-06-08
ACC-10121,Finance Client 122,Finance,Northeast,SMB,64,2022-12-12
ACC-10122,Education Client 123,Education,West,Enterprise,797,2022-09-28
ACC-10123,Real Estate Client 124,Real Estate,Southeast,SMB,64,2022-02-08
ACC-10124,Logistics Client 125,Logistics,Midwest,Enterprise,1810,2022-03-19
ACC-10125,Finance Client 126,Finance,West,Enterprise,687,2022-02-09
ACC-10126,Finance Client 127,Finance,Southwest,SMB,59,2023-09-12
ACC-10127,Real Estate Client 128,Real Estate,Midwest,SMB,47,2023-11-10
ACC-10128,Finance Client 129,Finance,Southeast,SMB,165,2024-12-22
ACC-10129,Logistics Client 130,Logistics,West,Mid-Market,148,2025-01-12
ACC-10130,Real Estate Client 131,Real Estate,Midwest,Mid-Market,654,2023-03-21
ACC-10131,Manufacturing Client 132,Manufacturing,Southwest,Enterprise,2863,2024-07-10
ACC-10132,Retail Client 133,Retail,Midwest,SMB,191,2023-01-25
ACC-10133,Healthcare Client 134,Healthcare,Southwest,SMB,49,2022-03-29
ACC-10134,Finance Client 135,Finance,Northeast,SMB,24,2025-01-13
ACC-10135,Retail Client 136,Retail,Southwest,Enterprise,514,2024-06-21
ACC-10136,Real Estate Client 137,Real Estate,Southeast,SMB,49,2023-09-15
ACC-10137,Retail Client 138,Retail,Midwest,Mid-Market,130,2023-04-04
ACC-10138,Manufacturing Client 139,Manufacturing,West,Enterprise,1505,2023-04-20
ACC-10139,Real Estate Client 140,Real Estate,Southeast,SMB,53,2022-05-07
ACC-10140,Logistics Client 141,Logistics,West,SMB,161,2023-11-27
ACC-10141,Manufacturing Client 142,Manufacturing,West,SMB,32,2023-09-19
ACC-10142,Education Client 143,Education,West,SMB,257,2023-03-19
ACC-10143,Healthcare Client 144,Healthcare,Southwest,Mid-Market,609,2023-03-23
ACC-10144,Retail Client 145,Retail,Northeast,SMB,28,2022-02-02
ACC-10145,Software Client 146,Software,Northeast,Mid-Market,371,2023-08-08
ACC-10146,Finance Client 147,Finance,West,Mid-Market,175,2025-01-05
ACC-10147,Logistics Client 148,Logistics,Northeast,Mid-Market,398,2023-02-20
ACC-10148,Retail Client 149,Retail,West,Mid-Market,584,2022-06-10
ACC-10149,Logistics Client 150,Logistics,Southeast,SMB,160,2022-11-23
ACC-10150,Healthcare Client 151,Healthcare,West,SMB,228,2024-10-04
ACC-10151,Real Estate Client 152,Real Estate,Southeast,Enterprise,1150,2024-12-07
ACC-10152,Real Estate Client 153,Real Estate,Southeast,SMB,107,2022-07-01
ACC-10153,Software Client 154,Software,West,SMB,87,2024-05-24
ACC-10154,Logistics Client 155,Logistics,Southwest,Enterprise,399,2024-07-01
ACC-10155,Finance Client 156,Finance,Midwest,SMB,40,2022-09-23
ACC-10156,Logistics Client 157,Logistics,West,Mid-Market,475,2024-01-09
ACC-10157,Finance Client 158,Finance,Southwest,SMB,144,2023-03-24
ACC-10158,Logistics Client 159,Logistics,Midwest,SMB,77,2022-03-27
ACC-10159,Retail Client 160,Retail,Midwest,SMB,92,2023-11-21
ACC-10160,Software Client 161,Software,Northeast,SMB,96,2025-02-01
ACC-10161,Real Estate Client 162,Real Estate,Northeast,Enterprise,1539,2024-12-15
ACC-10162,Manufacturing Client 163,Manufacturing,Midwest,Mid-Market,279,2024-02-12
ACC-10163,Real Estate Client 164,Real Estate,Southwest,SMB,56,2022-02-16
ACC-10164,Healthcare Client 165,Healthcare,Midwest,Mid-Market,124,2023-08-26
ACC-10165,Real Estate Client 166,Real Estate,Southeast,SMB,59,2022-10-09
ACC-10166,Real Estate Client 167,Real Estate,Midwest,SMB,99,2023-04-07
ACC-10167,Finance Client 168,Finance,Southwest,SMB,128,2023-04-02
ACC-10168,Healthcare Client 169,Healthcare,Midwest,SMB,66,2023-02-17
ACC-10169,Software Client 170,Software,West,Mid-Market,230,2022-02-04
ACC-10170,Education Client 171,Education,Southwest,SMB,89,2022-08-02
ACC-10171,Software Client 172,Software,Midwest,Enterprise,1233,2024-12-15
ACC-10172,Education Client 173,Education,Southwest,Enterprise,1102,2024-05-20
ACC-10173,Software Client 174,Software,Southeast,Enterprise,2464,2024-01-06
ACC-10174,Software Client 175,Software,Southwest,Mid-Market,512,2023-04-08
ACC-10175,Manufacturing Client 176,Manufacturing,Midwest,Enterprise,877,2023-10-15
ACC-10176,Healthcare Client 177,Healthcare,Northeast,Mid-Market,493,2024-12-16
ACC-10177,Finance Client 178,Finance,Southwest,Mid-Market,509,2023-05-31
ACC-10178,Logistics Client 179,Logistics,Midwest,Mid-Market,517,2022-06-28
ACC-10179,Manufacturing Client 180,Manufacturing,Northeast,Enterprise,411,2024-10-13
ACC-10180,Healthcare Client 181,Healthcare,Midwest,Mid-Market,120,2024-10-03
ACC-10181,Retail Client 182,Retail,Northeast,Mid-Market,542,2023-12-18
ACC-10182,Software Client 183,Software,West,Enterprise,1428,2023-09-24
ACC-10183,Manufacturing Client 184,Manufacturing,Southwest,SMB,130,2022-09-30
ACC-10184,Software Client 185,Software,Northeast,Enterprise,539,2023-12-30
ACC-10185,Software Client 186,Software,Southeast,Mid-Market,1226,2024-06-26
ACC-10186,Real Estate Client 187,Real Estate,West,Mid-Market,304,2024-07-03
ACC-10187,Logistics Client 188,Logistics,Midwest,Mid-Market,909,2022-01-02
ACC-10188,Software Client 189,Software,Midwest,Mid-Market,361,2023-01-25
ACC-10189,Logistics Client 190,Logistics,West,Mid-Market,517,2024-02-25
ACC-10190,Software Client 191,Software,Northeast,Enterprise,1071,2024-03-14
ACC-10191,Education Client 192,Education,Northeast,Mid-Market,178,2023-03-21
ACC-10192,Real Estate Client 193,Real Estate,Southeast,SMB,82,2023-07-06
ACC-10193,Finance Client 194,Finance,Midwest,Enterprise,516,2024-08-24
ACC-10194,Retail Client 195,Retail,Southeast,SMB,93,2023-12-31
ACC-10195,Healthcare Client 196,Healthcare,West,SMB,154,2023-04-04
ACC-10196,Finance Client 197,Finance,Southwest,SMB,56,2023-10-10
ACC-10197,Real Estate Client 198,Real Estate,West,SMB,87,2022-05-12
ACC-10198,Retail Client 199,Retail,Southwest,SMB,46,2022-11-17
ACC-10199,Retail Client 200,Retail,Northeast,Mid-Market,638,2024-05-03
ACC-10200,Retail Client 201,Retail,Southwest,Mid-Market,735,2023-12-02
ACC-10201,Healthcare Client 202,Healthcare,West,Mid-Market,388,2024-12-16
ACC-10202,Finance Client 203,Finance,West,Mid-Market,225,2024-01-11
ACC-10203,Education Client 204,Education,West,Enterprise,790,2023-02-20
ACC-10204,Software Client 205,Software,West,Mid-Market,392,2022-05-20
ACC-10205,Retail Client 206,Retail,West,Mid-Market,268,2022-03-02
ACC-10206,Healthcare Client 207,Healthcare,West,SMB,119,2023-06-07
ACC-10207,Healthcare Client 208,Healthcare,Southwest,SMB,133,2024-02-13
ACC-10208,Retail Client 209,Retail,Southeast,SMB,53,2022-05-04
ACC-10209,Software Client 210,Software,Southwest,SMB,72,2022-11-14
ACC-10210,Logistics Client 211,Logistics,West,Mid-Market,292,2024-11-12
ACC-10211,Manufacturing Client 212,Manufacturing,Midwest,SMB,67,2024-05-23
ACC-10212,Finance Client 213,Finance,West,Mid-Market,147,2024-12-01
ACC-10213,Manufacturing Client 214,Manufacturing,Southwest,SMB,75,2024-08-28
ACC-10214,Education Client 215,Education,West,Enterprise,461,2024-02-23
ACC-10215,Logistics Client 216,Logistics,Midwest,Mid-Market,198,2022-01-01
ACC-10216,Finance Client 217,Finance,Northeast,SMB,108,2023-09-02
ACC-10217,Education Client 218,Education,Southeast,SMB,27,2023-08-03
ACC-10218,Logistics Client 219,Logistics,Southeast,SMB,104,2023-01-31
ACC-10219,Education Client 220,Education,Midwest,Mid-Market,305,2022-01-14
ACC-10220,Finance Client 221,Finance,Southwest,SMB,97,2022-12-01
ACC-10221,Real Estate Client 222,Real Estate,Midwest,Mid-Market,276,2024-06-02
ACC-10222,Logistics Client 223,Logistics,Northeast,SMB,216,2023-04-02
ACC-10223,Real Estate Client 224,Real Estate,West,SMB,88,2024-01-12
ACC-10224,Real Estate Client 225,Real Estate,Northeast,Mid-Market,371,2024-07-19
ACC-10225,Logistics Client 226,Logistics,Midwest,Mid-Market,315,2023-11-30
ACC-10226,Retail Client 227,Retail,Southeast,SMB,86,2023-04-25
ACC-10227,Retail Client 228,Retail,Southwest,Mid-Market,285,2024-11-10
ACC-10228,Manufacturing Client 229,Manufacturing,Southwest,SMB,23,2024-07-08
ACC-10229,Logistics Client 230,Logistics,Southwest,Mid-Market,282,2024-01-04
ACC-10230,Logistics Client 231,Logistics,Northeast,SMB,98,2024-03-28
ACC-10231,Retail Client 232,Retail,Northeast,SMB,101,2023-01-07
ACC-10232,Software Client 233,Software,Southwest,SMB,131,2023-06-21
ACC-10233,Education Client 234,Education,Southeast,SMB,152,2023-11-11
ACC-10234,Retail Client 235,Retail,Midwest,Enterprise,1056,2024-10-10
ACC-10235,Real Estate Client 236,Real Estate,Midwest,Mid-Market,240,2024-10-29
ACC-10236,Manufacturing Client 237,Manufacturing,Southwest,SMB,37,2022-01-23
ACC-10237,Healthcare Client 238,Healthcare,Southwest,Mid-Market,410,2024-08-17
ACC-10238,Real Estate Client 239,Real Estate,Southwest,SMB,65,2022-12-03
ACC-10239,Education Client 240,Education,Southeast,Mid-Market,237,2023-07-13
ACC-10240,Manufacturing Client 241,Manufacturing,Southwest,Enterprise,1620,2025-01-11
ACC-10241,Logistics Client 242,Logistics,Northeast,Mid-Market,219,2024-11-29
ACC-10242,Education Client 243,Education,Southeast,SMB,85,2023-12-25
ACC-10243,Manufacturing Client 244,Manufacturing,Midwest,SMB,319,2023-06-30
ACC-10244,Manufacturing Client 245,Manufacturing,Southeast,SMB,45,2022-09-27
ACC-10245,Education Client 246,Education,Northeast,Mid-Market,374,2025-01-29
ACC-10246,Logistics Client 247,Logistics,Midwest,Mid-Market,331,2023-07-08
ACC-10247,Finance Client 248,Finance,Midwest,SMB,53,2022-05-05
ACC-10248,Finance Client 249,Finance,Southwest,Enterprise,1839,2023-06-16
ACC-10249,Software Client 250,Software,Midwest,SMB,48,2024-05-18
ACC-10250,Real Estate Client 251,Real Estate,Southwest,SMB,71,2025-02-16
ACC-10251,Software Client 252,Software,Southwest,SMB,65,2024-07-13
ACC-10252,Real Estate Client 253,Real Estate,Northeast,SMB,46,2023-06-07
ACC-10253,Finance Client 254,Finance,West,SMB,50,2022-12-06
ACC-10254,Retail Client 255,Retail,West,Mid-Market,104,2024-08-11
ACC-10255,Healthcare Client 256,Healthcare,Southeast,SMB,109,2023-12-20
ACC-10256,Education Client 257,Education,Southwest,Mid-Market,277,2024-07-23
ACC-10257,Manufacturing Client 258,Manufacturing,West,Mid-Market,479,2025-01-04
ACC-10258,Healthcare Client 259,Healthcare,Midwest,SMB,101,2024-04-12
ACC-10259,Healthcare Client 260,Healthcare,West,SMB,77,2022-11-18
ACC-10260,Healthcare Client 261,Healthcare,West,SMB,54,2023-03-10
ACC-10261,Real Estate Client 262,Real Estate,West,SMB,42,2022-06-25
ACC-10262,Manufacturing Client 263,Manufacturing,Southwest,Mid-Market,161,2024-10-11
ACC-10263,Manufacturing Client 264,Manufacturing,Southeast,SMB,76,2023-08-21
ACC-10264,Software Client 265,Software,Northeast,Enterprise,223,2022-06-04
ACC-10265,Healthcare Client 266,Healthcare,West,Enterprise,1384,2024-05-20
ACC-10266,Real Estate Client 267,Real Estate,Southeast,Mid-Market,151,2024-05-18
ACC-10267,Finance Client 268,Finance,Midwest,Enterprise,1799,2024-03-24
ACC-10268,Real Estate Client 269,Real Estate,West,SMB,78,2024-03-16
ACC-10269,Finance Client 270,Finance,Southeast,Mid-Market,293,2024-10-25
ACC-10270,Finance Client 271,Finance,Northeast,SMB,53,2023-10-02
ACC-10271,Education Client 272,Education,Southwest,SMB,139,2023-01-07
ACC-10272,Finance Client 273,Finance,Midwest,SMB,84,2024-10-08
ACC-10273,Real Estate Client 274,Real Estate,Southwest,Mid-Market,170,2024-05-17
ACC-10274,Education Client 275,Education,Southeast,SMB,31,2024-07-22
ACC-10275,Healthcare Client 276,Healthcare,West,SMB,34,2024-06-26
ACC-10276,Healthcare Client 277,Healthcare,Midwest,SMB,47,2024-11-28
ACC-10277,Logistics Client 278,Logistics,West,Mid-Market,421,2022-10-16
ACC-10278,Logistics Client 279,Logistics,West,Mid-Market,433,2025-01-04
ACC-10279,Logistics Client 280,Logistics,Northeast,SMB,77,2023-01-29
ACC-10280,Logistics Client 281,Logistics,Northeast,Enterprise,964,2024-10-26
ACC-10281,Software Client 282,Software,Southeast,SMB,134,2023-01-23
ACC-10282,Retail Client 283,Retail,Southeast,Mid-Market,297,2023-04-02
ACC-10283,Education Client 284,Education,Northeast,Enterprise,3784,2023-05-30
ACC-10284,Logistics Client 285,Logistics,Midwest,Mid-Market,413,2022-09-21
ACC-10285,Retail Client 286,Retail,West,Enterprise,910,2022-07-16
ACC-10286,Healthcare Client 287,Healthcare,Midwest,SMB,30,2023-10-07
ACC-10287,Finance Client 288,Finance,Northeast,SMB,60,2022-05-16
ACC-10288,Healthcare Client 289,Healthcare,Southwest,Mid-Market,297,2023-11-14
ACC-10289,Healthcare Client 290,Healthcare,West,Enterprise,651,2022-07-08
ACC-10290,Software Client 291,Software,West,Mid-Market,339,2022-02-23
ACC-10291,Real Estate Client 292,Real Estate,West,Mid-Market,345,2024-08-24
ACC-10292,Real Estate Client 293,Real Estate,Southwest,SMB,70,2023-02-09
ACC-10293,Healthcare Client 294,Healthcare,Northeast,SMB,70,2022-07-19
ACC-10294,Real Estate Client 295,Real Estate,Midwest,Mid-Market,276,2023-10-03
ACC-10295,Manufacturing Client 296,Manufacturing,Southwest,SMB,66,2023-02-07
ACC-10296,Manufacturing Client 297,Manufacturing,West,SMB,55,2023-08-30
ACC-10297,Finance Client 298,Finance,Midwest,Enterprise,1497,2023-10-23
ACC-10298,Software Client 299,Software,Northeast,SMB,92,2024-01-09
ACC-10299,Manufacturing Client 300,Manufacturing,Northeast,SMB,158,2022-12-25
ACC-10300,Healthcare Client 301,Healthcare,Southeast,Enterprise,843,2022-07-25
ACC-10301,Finance Client 302,Finance,Midwest,SMB,79,2023-09-07
ACC-10302,Real Estate Client 303,Real Estate,West,SMB,68,2023-11-02
ACC-10303,Healthcare Client 304,Healthcare,Midwest,SMB,76,2024-01-04
ACC-10304,Education Client 305,Education,West,Enterprise,1524,2022-03-28
ACC-10305,Manufacturing Client 306,Manufacturing,Southeast,Mid-Market,411,2024-09-10
ACC-10306,Software Client 307,Software,Midwest,Mid-Market,491,2024-05-27
ACC-10307,Finance Client 308,Finance,Midwest,SMB,58,2025-02-04
ACC-10308,Manufacturing Client 309,Manufacturing,Northeast,Mid-Market,495,2022-03-26
ACC-10309,Healthcare Client 310,Healthcare,Midwest,Mid-Market,274,2023-03-20
ACC-10310,Logistics Client 311,Logistics,Midwest,SMB,41,2024-01-30
ACC-10311,Real Estate Client 312,Real Estate,Northeast,Enterprise,3102,2024-03-22
ACC-10312,Education Client 313,Education,Southwest,Enterprise,1549,2024-11-11
ACC-10313,Manufacturing Client 314,Manufacturing,West,SMB,69,2024-10-22
ACC-10314,Real Estate Client 315,Real Estate,Northeast,SMB,30,2024-05-08
ACC-10315,Retail Client 316,Retail,Midwest,SMB,262,2023-09-26
ACC-10316,Healthcare Client 317,Healthcare,Southeast,Mid-Market,324,2024-04-06
ACC-10317,Manufacturing Client 318,Manufacturing,Northeast,SMB,150,2024-04-24
ACC-10318,Education Client 319,Education,Northeast,SMB,68,2022-10-13
ACC-10319,Software Client 320,Software,West,SMB,24,2022-02-17
ACC-10320,Retail Client 321,Retail,Northeast,Mid-Market,264,2023-08-27
ACC-10321,Finance Client 322,Finance,Southwest,Mid-Market,218,2022-10-15
ACC-10322,Healthcare Client 323,Healthcare,Southeast,SMB,37,2022-12-25
ACC-10323,Retail Client 324,Retail,West,Enterprise,3376,2023-06-22
ACC-10324,Manufacturing Client 325,Manufacturing,Midwest,SMB,46,2022-04-13
ACC-10325,Real Estate Client 326,Real Estate,Southwest,Enterprise,1360,2024-09-16
ACC-10326,Finance Client 327,Finance,Southeast,SMB,40,2023-03-01
ACC-10327,Education Client 328,Education,Northeast,SMB,108,2022-09-01
ACC-10328,Healthcare Client 329,Healthcare,Northeast,Enterprise,798,2022-02-07
ACC-10329,Manufacturing Client 330,Manufacturing,Southwest,SMB,227,2022-11-06
ACC-10330,Manufacturing Client 331,Manufacturing,Southwest,Mid-Market,263,2022-03-25
ACC-10331,Healthcare Client 332,Healthcare,Midwest,Mid-Market,496,2022-01-06
ACC-10332,Logistics Client 333,Logistics,Southwest,Mid-Market,300,2023-12-17
ACC-10333,Retail Client 334,Retail,West,SMB,60,2024-05-22
ACC-10334,Healthcare Client 335,Healthcare,West,Enterprise,574,2025-02-18
ACC-10335,Software Client 336,Software,West,Enterprise,887,2024-11-16
ACC-10336,Software Client 337,Software,Northeast,Mid-Market,401,2022-03-20
ACC-10337,Retail Client 338,Retail,Southeast,Enterprise,623,2022-01-13
ACC-10338,Logistics Client 339,Logistics,Midwest,SMB,116,2024-05-10
ACC-10339,Software Client 340,Software,Southeast,Mid-Market,480,2023-02-15
ACC-10340,Healthcare Client 341,Healthcare,Midwest,Mid-Market,128,2023-03-09
ACC-10341,Manufacturing Client 342,Manufacturing,West,SMB,54,2022-01-02
ACC-10342,Logistics Client 343,Logistics,West,SMB,103,2023-06-21
ACC-10343,Manufacturing Client 344,Manufacturing,Northeast,Enterprise,930,2022-07-29
ACC-10344,Healthcare Client 345,Healthcare,Southeast,Mid-Market,237,2023-12-06
ACC-10345,Retail Client 346,Retail,Southwest,Enterprise,940,2023-11-12
ACC-10346,Finance Client 347,Finance,Southwest,SMB,76,2022-06-17
ACC-10347,Education Client 348,Education,Southwest,Mid-Market,319,2022-08-09
ACC-10348,Real Estate Client 349,Real Estate,Southwest,SMB,29,2022-04-07
ACC-10349,Healthcare Client 350,Healthcare,Northeast,SMB,57,2024-02-16
ACC-10350,Retail Client 351,Retail,Southeast,SMB,88,2024-09-30
ACC-10351,Real Estate Client 352,Real Estate,Midwest,SMB,154,2022-09-21
