activity_id,opportunity_id,activity_type,activity_date,status,owner
TASK-300027,OPP-224608,Follow-up,2023-07-08,Completed,Rep 31
TASK-300028,OPP-237578,Email,2023-05-09,Open,Rep 21
TASK-300029,OPP-224892,Call,2023-10-23,Completed,Rep 3
TASK-300030,OPP-204976,Call,2024-06-29,Completed,Rep 38
TASK-300031,OPP-231024,Email,2023-06-03,Completed,Rep 11
TASK-300032,OPP-204020,Email,2024-05-22,Completed,Rep 6
TASK-300033,OPP-208132,Demo,2024-02-21,Completed,Rep 17
TASK-300034,OPP-221880,Follow-up,2024-11-21,Completed,Rep 17
TASK-300035,OPP-247644,Follow-up,2023-05-23,Open,Rep 6
TASK-300036,OPP-214409,Follow-up,2025-01-25,Completed,Rep 32
TASK-300037,OPP-208327,Email,2023-04-17,Completed,Rep 8
TASK-300038,OPP-204925,Call,2024-03-12,Open,Rep 4
TASK-300039,OPP-247407,Call,2025-05-11,Completed,Rep 19
TASK-300040,OPP-216565,Follow-up,2023-07-12,Completed,Rep 18
TASK-300041,OPP-218336,Email,2024-08-25,Completed,Rep 40
TASK-300042,OPP-226793,Contract Review,2025-05-18,Completed,Rep 20
TASK-300043,OPP-235307,Demo,2024-06-30,Completed,Rep 2
TASK-300044,OPP-211161,Demo,2025-04-22,Completed,Rep 26
TASK-300045,OPP-220976,Call,2025-04-26,Completed,Rep 2
TASK-300046,OPP-244794,Follow-up,2023-08-02,Completed,Rep 19
TASK-300047,OPP-225269,Call,2024-01-15,Open,Rep 6
TASK-300048,OPP-246805,Email,2023-05-05,Completed,Rep 13
TASK-300049,OPP-238421,Follow-up,2023-10-24,Completed,Rep 35
TASK-300050,OPP-249384,Proposal Sent,2023-09-05,Completed,Rep 39
TASK-300051,OPP-208010,Email,2023-08-07,Open,Rep 2
TASK-300052,OPP-220251,Email,2025-03-25,Completed,Rep 21
TASK-300053,OPP-210207,Email,2023-06-08,Completed,Rep 24
TASK-300054,OPP-248701,Proposal Sent,2025-02-16,Completed,Rep 38
TASK-300055,OPP-227443,Email,2024-11-18,Completed,Rep 4
TASK-300056,OPP-239842,Demo,2024-12-24,Completed,Rep 24
TASK-300057,OPP-229102,Demo,2024-11-28,Completed,Rep 39
TASK-300058,OPP-203178,Demo,2023-07-29,Completed,Rep 37
TASK-300059,OPP-249204,Email,2023-07-07,Open,Rep 36
TASK-300060,OPP-233938,Call,2023-05-16,Completed,Rep 25
TASK-300061,OPP-249943,Call,2024-03-10,Completed,Rep 15
TASK-300062,OPP-218819,Proposal Sent,2023-09-24,Completed,Rep 15
TASK-300063,OPP-209798,Email,2024-04-06,Open,Rep 29
TASK-300064,OPP-206936,Demo,2025-02-25,Completed,Rep 9
TASK-300065,OPP-238195,Email,2023-12-31,Blocked,Rep 42
TASK-300066,OPP-201286,Call,2023-09-05,Completed,Rep 23
TASK-300067,OPP-201405,Email,2025-04-28,Completed,Rep 16
TASK-300068,OPP-215020,Email,2025-02-04,Completed,Rep 15
TASK-300069,OPP-244375,Call,2024-06-02,Completed,Rep 35
TASK-300070,OPP-227477,Email,2025-04-01,Completed,Rep 40
TASK-300071,OPP-206670,Call,2023-03-22,Open,Rep 3
TASK-300072,OPP-238387,Proposal Sent,2025-03-25,Completed,Rep 35
TASK-300073,OPP-239976,Proposal Sent,2023-06-23,Open,Rep 3
TASK-300074,OPP-215827,Demo,2024-06-15,Open,Rep 8
TASK-300075,OPP-235710,Call,2024-08-30,Open,Rep 7
TASK-300076,OPP-235029,Follow-up,2024-07-29,Completed,Rep 30
TASK-300077,OPP-240731,Email,2023-12-06,Completed,Rep 21
TASK-300078,OPP-203882,Follow-up,2025-05-30,Completed,Rep 26
TASK-300079,OPP-202609,Call,2024-11-21,Completed,Rep 16
TASK-300080,OPP-245254,Demo,2023-11-07,Completed,Rep 27
TASK-300081,OPP-241232,Follow-up,2023-01-24,Completed,Rep 41
TASK-300082,OPP-241535,Follow-up,2025-01-03,Completed,Rep 39
TASK-300083,OPP-203453,Call,2024-05-14,Completed,Rep 33
TASK-300084,OPP-215847,Email,2025-07-01,Completed,Rep 35
TASK-300085,OPP-206556,Email,2024-07-20,Completed,Rep 42
TASK-300086,OPP-207611,Call,2024-12-06,Completed,Rep 41
TASK-300087,OPP-245855,Email,2023-07-13,Completed,Rep 29
TASK-300088,OPP-245777,Call,2024-09-02,Completed,Rep 22
TASK-300089,OPP-206643,Demo,2023-04-25,Completed,Rep 30
TASK-300090,OPP-213317,Contract Review,2023-03-11,Completed,Rep 21
TASK-300091,OPP-216141,Contract Review,2024-06-19,Completed,Rep 42
TASK-300092,OPP-238664,Follow-up,2023-03-16,Completed,Rep 5
TASK-300093,OPP-235520,Proposal Sent,2023-12-24,Open,Rep 4
TASK-300094,OPP-207987,Call,2025-07-09,Completed,Rep 21
TASK-300095,OPP-216310,Email,2024-05-21,Completed,Rep 16
TASK-300096,OPP-240521,Contract Review,2023-03-21,Completed,Rep 23
TASK-300097,OPP-211780,Call,2023-11-22,Open,Rep 34
TASK-300098,OPP-215022,Email,2024-02-05,Completed,Rep 42
TASK-300099,OPP-244870,Demo,2023-10-20,Completed,Rep 24
TASK-300100,OPP-241324,Call,2024-01-04,Completed,Rep 34
TASK-300101,OPP-235071,Email,2023-04-19,Open,Rep 3
TASK-300102,OPP-246167,Call,2024-05-25,Completed,Rep 16
TASK-300103,OPP-220249,Email,2024-12-27,Completed,Rep 14
TASK-300104,OPP-231061,Proposal Sent,2025-06-03,Completed,Rep 23
TASK-300105,OPP-221784,Proposal Sent,2023-07-19,Completed,Rep 9
TASK-300106,OPP-215844,Follow-up,2023-12-14,Completed,Rep 29
TASK-300107,OPP-243159,Proposal Sent,2025-07-01,Open,Rep 8
TASK-300108,OPP-226905,Call,2023-06-11,Open,Rep 9
TASK-300109,OPP-234774,Follow-up,2023-05-26,Completed,Rep 1
TASK-300110,OPP-200791,Email,2024-08-23,Completed,Rep 30
TASK-300111,OPP-240360,Contract Review,2023-10-10,Completed,Rep 35
TASK-300112,OPP-223000,Follow-up,2024-08-10,Open,Rep 24
TASK-300113,OPP-205857,Contract Review,2024-10-30,Open,Rep 5
TASK-300114,OPP-236040,Email,2025-06-28,Open,Rep 21
TASK-300115,OPP-216841,Demo,2025-02-11,Completed,Rep 27
TASK-300116,OPP-200687,Email,2024-09-30,Completed,Rep 6
TASK-300117,OPP-220677,Demo,2024-02-13,Completed,Rep 31
TASK-300118,OPP-208604,Email,2023-12-31,Open,Rep 35
TASK-300119,OPP-208661,Call,2024-06-24,Completed,Rep 17
TASK-300120,OPP-201110,Demo,2023-11-17,Open,Rep 18
TASK-300121,OPP-206424,Call,2024-07-02,Completed,Rep 2
TASK-300122,OPP-245107,Proposal Sent,2023-03-16,Completed,Rep 13
TASK-300123,OPP-214276,Call,2023-06-12,Blocked,Rep 28
TASK-300124,OPP-247906,Call,2025-05-23,Completed,Rep 18
TASK-300125,OPP-245564,Email,2024-09-18,Completed,Rep 35
TASK-300126,OPP-249884,Follow-up,2024-02-23,Completed,Rep 38
TASK-300127,OPP-244387,Demo,2023-10-25,Completed,Rep 41
TASK-300128,OPP-207249,Email,2023-06-18,Open,Rep 35
TASK-300129,OPP-203890,Call,2025-01-29,Completed,Rep 29
TASK-300130,OPP-230652,Call,2023-10-30,Completed,Rep 3
TASK-300131,OPP-209055,Proposal Sent,2025-06-03,Completed,Rep 16
TASK-300132,OPP-242866,Follow-up,2024-07-13,Completed,Rep 13
TASK-300133,OPP-245089,Call,2023-09-11,Completed,Rep 25
TASK-300134,OPP-239515,Email,2024-10-23,Completed,Rep 7
TASK-300135,OPP-213982,Proposal Sent,2024-12-01,Completed,Rep 17
TASK-300136,OPP-239572,Email,2023-09-16,Completed,Rep 2
TASK-300137,OPP-246261,Email,2024-02-07,Completed,Rep 42
TASK-300138,OPP-238917,Contract Review,2025-04-30,Completed,Rep 16
TASK-300139,OPP-218448,Demo,2023-05-22,Completed,Rep 25
TASK-300140,OPP-246868,Email,2024-05-29,Completed,Rep 18
TASK-300141,OPP-232538,Call,2024-04-03,Open,Rep 19
TASK-300142,OPP-222828,Email,2024-05-22,Completed,Rep 30
TASK-300143,OPP-205143,Email,2024-08-13,Open,Rep 35
TASK-300144,OPP-248289,Call,2024-11-09,Open,Rep 34
TASK-300145,OPP-220267,Call,2024-04-27,Completed,Rep 33
TASK-300146,OPP-215522,Email,2024-03-15,Completed,Rep 6
TASK-300147,OPP-246743,Email,2024-03-25,Completed,Rep 24
TASK-300148,OPP-200591,Call,2024-07-09,Completed,Rep 30
TASK-300149,OPP-238113,Call,2024-02-25,Completed,Rep 7
TASK-300150,OPP-218478,Contract Review,2023-07-05,Completed,Rep 13
TASK-300151,OPP-220346,Email,2025-04-29,Completed,Rep 20
TASK-300152,OPP-200753,Contract Review,2023-03-23,Completed,Rep 22
TASK-300153,OPP-220246,Call,2023-04-12,Completed,Rep 22
TASK-300154,OPP-249013,Call,2023-11-01,Completed,Rep 21
TASK-300155,OPP-203434,Follow-up,2024-04-14,Completed,Rep 23
TASK-300156,OPP-236620,Demo,2023-11-17,Completed,Rep 23
TASK-300157,OPP-244109,Follow-up,2025-01-08,Completed,Rep 26
TASK-300158,OPP-244968,Email,2024-03-05,Completed,Rep 41
TASK-300159,OPP-246458,Call,2024-12-09,Completed,Rep 3
TASK-300160,OPP-245821,Follow-up,2024-10-27,Completed,Rep 17
TASK-300161,OPP-240304,Call,2024-05-21,Completed,Rep 9
TASK-300162,OPP-248028,Email,2024-05-14,Completed,Rep 21
TASK-300163,OPP-214165,Follow-up,2025-02-22,Completed,Rep 29
TASK-300164,OPP-212528,Call,2024-12-04,Completed,Rep 23
TASK-300165,OPP-230904,Email,2023-08-19,Open,Rep 26
TASK-300166,OPP-212028,Contract Review,2023-10-24,Open,Rep 28
TASK-300167,OPP-243270,Email,2025-02-08,Blocked,Rep 26
TASK-300168,OPP-214943,Follow-up,2024-09-13,Completed,Rep 41
TASK-300169,OPP-204254,Follow-up,2023-08-12,Completed,Rep 41
TASK-300170,OPP-217735,Email,2024-07-20,Open,Rep 12
TASK-300171,OPP-219832,Email,2025-03-25,Open,Rep 9
TASK-300172,OPP-213466,Follow-up,2025-06-09,Blocked,Rep 2
TASK-300173,OPP-210488,Follow-up,2024-01-11,Completed,Rep 7
TASK-300174,OPP-242633,Email,2024-11-01,Completed,Rep 13
TASK-300175,OPP-219755,Call,2024-01-25,Completed,Rep 33
TASK-300176,OPP-212185,Email,2025-05-10,Completed,Rep 20
TASK-300177,OPP-241076,Proposal Sent,2024-05-28,Completed,Rep 25
TASK-300178,OPP-227817,Demo,2025-03-04,Open,Rep 15
TASK-300179,OPP-227105,Demo,2024-02-13,Completed,Rep 10
TASK-300180,OPP-243903,Follow-up,2024-06-23,Completed,Rep 33
TASK-300181,OPP-220523,Demo,2025-07-28,Open,Rep 6
TASK-300182,OPP-230483,Call,2024-06-08,Completed,Rep 17
TASK-300183,OPP-230800,Email,2023-10-11,Completed,Rep 19
TASK-300184,OPP-241067,Call,2023-04-22,Completed,Rep 16
TASK-300185,OPP-219873,Proposal Sent,2023-05-25,Blocked,Rep 16
TASK-300186,OPP-233433,Email,2024-02-13,Completed,Rep 35
TASK-300187,OPP-211415,Email,2023-05-03,Completed,Rep 23
TASK-300188,OPP-247784,Demo,2024-01-08,Blocked,Rep 33
TASK-300189,OPP-202275,Call,2023-11-03,Completed,Rep 28
TASK-300190,OPP-204639,Demo,2023-06-17,Completed,Rep 27
TASK-300191,OPP-209119,Call,2024-12-23,Completed,Rep 20
TASK-300192,OPP-208416,Contract Review,2023-11-23,Open,Rep 31
TASK-300193,OPP-203315,Email,2025-02-25,Completed,Rep 25
TASK-300194,OPP-209371,Email,2025-04-24,Open,Rep 36
TASK-300195,OPP-247922,Contract Review,2024-10-05,Completed,Rep 36
TASK-300196,OPP-219344,Follow-up,2023-09-07,Open,Rep 30
TASK-300197,OPP-218748,Email,2025-04-30,Completed,Rep 10
TASK-300198,OPP-240242,Call,2023-04-16,Completed,Rep 11
TASK-300199,OPP-225478,Follow-up,2024-03-12,Completed,Rep 32
TASK-300200,OPP-229124,Follow-up,2023-02-24,Completed,Rep 22
TASK-300201,OPP-200521,Follow-up,2023-07-23,Completed,Rep 13
TASK-300202,OPP-209636,Contract Review,2023-11-05,Completed,Rep 16
TASK-300203,OPP-241661,Email,2023-11-22,Completed,Rep 27
TASK-300204,OPP-207238,Email,2024-10-24,Completed,Rep 16
TASK-300205,OPP-218000,Email,2024-02-25,Completed,Rep 2
TASK-300206,OPP-212452,Call,2025-06-04,Open,Rep 1
TASK-300207,OPP-216636,Follow-up,2024-12-22,Completed,Rep 41
TASK-300208,OPP-237118,Demo,2025-05-16,Completed,Rep 20
TASK-300209,OPP-230036,Follow-up,2024-09-05,Open,Rep 17
TASK-300210,OPP-233387,Demo,2024-07-23,Completed,Rep 10
TASK-300211,OPP-204252,Email,2025-01-19,Completed,Rep 21
TASK-300212,OPP-202838,Call,2023-08-27,Completed,Rep 39
TASK-300213,OPP-208723,Call,2024-10-08,Completed,Rep 16
TASK-300214,OPP-205579,Email,2023-12-12,Completed,Rep 8
TASK-300215,OPP-206359,Email,2024-11-13,Completed,Rep 32
TASK-300216,OPP-200184,Email,2025-06-02,Completed,Rep 9
TASK-300217,OPP-235041,Demo,2025-05-28,Completed,Rep 6
TASK-300218,OPP-205220,Call,2024-09-16,Completed,Rep 17
TASK-300219,OPP-202177,Email,2024-06-07,Open,Rep 29
TASK-300220,OPP-236447,Call,2024-05-16,Open,Rep 38
TASK-300221,OPP-204056,Demo,2025-05-24,Completed,Rep 15
TASK-300222,OPP-217568,Email,2024-02-05,Completed,Rep 35
TASK-300223,OPP-228082,Demo,2024-11-28,Completed,Rep 9
TASK-300224,OPP-207804,Call,2025-02-15,Completed,Rep 41
TASK-300225,OPP-236930,Call,2024-03-16,Completed,Rep 37
TASK-300226,OPP-203239,Call,2025-06-19,Completed,Rep 33
TASK-300227,OPP-215414,Email,2023-11-22,Open,Rep 29
TASK-300228,OPP-201647,Contract Review,2023-06-28,Completed,Rep 39
TASK-300229,OPP-221596,Email,2023-05-23,Completed,Rep 37
TASK-300230,OPP-220981,Email,2023-06-20,Completed,Rep 12
TASK-300231,OPP-228474,Email,2023-06-19,Completed,Rep 36
TASK-300232,OPP-231724,Email,2023-02-07,Completed,Rep 29
TASK-300233,OPP-240304,Contract Review,2024-04-29,Completed,Rep 29
TASK-300234,OPP-249678,Email,2024-10-23,Open,Rep 24
TASK-300235,OPP-242651,Contract Review,2024-05-15,Completed,Rep 22
TASK-300236,OPP-213709,Contract Review,2024-10-01,Open,Rep 27
TASK-300237,OPP-212217,Demo,2023-03-30,Completed,Rep 1
TASK-300238,OPP-220084,Call,2023-05-29,Completed,Rep 26
TASK-300239,OPP-230336,Proposal Sent,2025-07-07,Completed,Rep 38
TASK-300240,OPP-220056,Call,2023-01-30,Completed,Rep 40
TASK-300241,OPP-242065,Call,2024-07-06,Open,Rep 21
TASK-300242,OPP-233448,Email,2023-12-04,Completed,Rep 31
TASK-300243,OPP-206230,Call,2024-07-24,Completed,Rep 2
TASK-300244,OPP-211024,Call,2024-12-23,Completed,Rep 36
TASK-300245,OPP-200110,Call,2025-01-17,Completed,Rep 25
TASK-300246,OPP-215413,Follow-up,2023-11-16,Completed,Rep 14
TASK-300247,OPP-208217,Email,2023-02-04,Open,Rep 14
TASK-300248,OPP-237689,Call,2025-03-26,Completed,Rep 14
TASK-300249,OPP-240688,Email,2023-03-03,Completed,Rep 2
TASK-300250,OPP-231565,Demo,2023-03-07,Completed,Rep 6
TASK-300251,OPP-222462,Proposal Sent,2023-02-22,Completed,Rep 22
TASK-300252,OPP-221173,Email,2023-02-13,Blocked,Rep 18
TASK-300253,OPP-209481,Email,2024-09-07,Completed,Rep 38
TASK-300254,OPP-228389,Call,2023-09-27,Completed,Rep 9
TASK-300255,OPP-210136,Follow-up,2024-05-19,Open,Rep 10
TASK-300256,OPP-231213,Proposal Sent,2025-01-15,Completed,Rep 17
TASK-300257,OPP-249968,Follow-up,2023-03-21,Completed,Rep 11
TASK-300258,OPP-234749,Follow-up,2024-11-30,Completed,Rep 42
TASK-300259,OPP-227597,Email,2023-03-23,Completed,Rep 3
TASK-300260,OPP-249189,Email,2023-07-02,Completed,Rep 23
TASK-300261,OPP-220357,Demo,2025-07-08,Completed,Rep 6
TASK-300262,OPP-233635,Email,2023-03-07,Open,Rep 37
TASK-300263,OPP-210874,Call,2024-10-24,Completed,Rep 26
TASK-300264,OPP-235916,Call,2023-04-30,Completed,Rep 22
TASK-300265,OPP-219531,Email,2023-12-04,Completed,Rep 29
TASK-300266,OPP-201173,Email,2024-12-08,Open,Rep 25
TASK-300267,OPP-224642,Follow-up,2023-08-15,Open,Rep 36
TASK-300268,OPP-231839,Email,2024-09-09,Completed,Rep 31
TASK-300269,OPP-229739,Demo,2023-06-17,Completed,Rep 22
TASK-300270,OPP-246073,Call,2023-03-18,Completed,Rep 21
TASK-300271,OPP-239178,Email,2023-03-20,Completed,Rep 29
TASK-300272,OPP-204399,Call,2024-11-14,Completed,Rep 28
TASK-300273,OPP-201031,Email,2023-08-16,Completed,Rep 2
TASK-300274,OPP-213822,Call,2025-02-14,Completed,Rep 7
TASK-300275,OPP-207369,Call,2024-12-23,Blocked,Rep 36
TASK-300276,OPP-246088,Proposal Sent,2025-06-17,Completed,Rep 5
TASK-300277,OPP-238097,Call,2023-02-18,Completed,Rep 8
TASK-300278,OPP-244200,Follow-up,2024-10-21,Completed,Rep 20
TASK-300279,OPP-217828,Call,2023-06-12,Open,Rep 26
TASK-300280,OPP-218385,Contract Review,2024-06-17,Completed,Rep 39
TASK-300281,OPP-249249,Contract Review,2025-06-15,Completed,Rep 23
TASK-300282,OPP-240091,Call,2025-06-11,Completed,Rep 41
TASK-300283,OPP-238155,Demo,2024-04-27,Completed,Rep 9
TASK-300284,OPP-211304,Proposal Sent,2023-12-07,Completed,Rep 27
TASK-300285,OPP-205040,Follow-up,2024-08-25,Completed,Rep 39
TASK-300286,OPP-216705,Email,2023-11-21,Completed,Rep 12
TASK-300287,OPP-242785,Proposal Sent,2025-05-20,Completed,Rep 9
TASK-300288,OPP-208732,Email,2025-04-19,Completed,Rep 4
TASK-300289,OPP-244378,Email,2023-11-25,Open,Rep 37
TASK-300290,OPP-248099,Call,2025-01-08,Completed,Rep 38
TASK-300291,OPP-209272,Email,2023-07-07,Open,Rep 40
TASK-300292,OPP-217780,Demo,2023-02-14,Completed,Rep 32
TASK-300293,OPP-236392,Email,2024-11-06,Completed,Rep 39
TASK-300294,OPP-202061,Email,2023-12-01,Completed,Rep 15
TASK-300295,OPP-205143,Follow-up,2024-08-21,Completed,Rep 16
TASK-300296,OPP-201834,Call,2023-07-29,Open,Rep 32
TASK-300297,OPP-239650,Email,2023-05-30,Completed,Rep 16
TASK-300298,OPP-242098,Proposal Sent,2024-02-05,Completed,Rep 30
TASK-300299,OPP-218177,Call,2023-11-05,Completed,Rep 14
TASK-300300,OPP-222747,Email,2024-04-12,Completed,Rep 27
TASK-300301,OPP-229488,Email,2024-08-16,Completed,Rep 2
TASK-300302,OPP-243220,Email,2024-10-16,Completed,Rep 27
TASK-300303,OPP-217647,Email,2024-09-19,Completed,Rep 2
TASK-300304,OPP-221766,Call,2024-08-29,Completed,Rep 11
TASK-300305,OPP-206090,Follow-up,2023-02-21,Completed,Rep 33
TASK-300306,OPP-243683,Follow-up,2023-04-30,Open,Rep 19
TASK-300307,OPP-225909,Email,2023-12-31,Open,Rep 4
TASK-300308,OPP-214631,Demo,2024-06-11,Open,Rep 2
TASK-300309,OPP-200458,Email,2024-01-11,Completed,Rep 37
TASK-300310,OPP-241672,Proposal Sent,2023-06-04,Open,Rep 4
TASK-300311,OPP-232425,Proposal Sent,2023-06-11,Completed,Rep 37
TASK-300312,OPP-228194,Email,2024-05-29,Completed,Rep 14
TASK-300313,OPP-242442,Call,2024-01-22,Completed,Rep 41
TASK-300314,OPP-248408,Follow-up,2025-08-20,Completed,Rep 16
TASK-300315,OPP-216680,Demo,2025-05-01,Completed,Rep 6
TASK-300316,OPP-211588,Proposal Sent,2024-07-30,Completed,Rep 25
TASK-300317,OPP-234793,Demo,2023-07-14,Completed,Rep 24
TASK-300318,OPP-206343,Call,2023-08-05,Completed,Rep 11
TASK-300319,OPP-248138,Call,2024-01-21,Completed,Rep 39
TASK-300320,OPP-241565,Email,2025-03-11,Completed,Rep 10
TASK-300321,OPP-218834,Proposal Sent,2023-11-22,Completed,Rep 24
TASK-300322,OPP-246824,Follow-up,2023-08-07,Completed,Rep 25
TASK-300323,OPP-244999,Email,2023-03-07,Completed,Rep 25
TASK-300324,OPP-232846,Call,2023-01-17,Open,Rep 12
TASK-300325,OPP-211260,Email,2023-11-08,Completed,Rep 28
TASK-300326,OPP-206218,Follow-up,2024-09-10,Completed,Rep 6
TASK-300327,OPP-207753,Demo,2024-11-22,Blocked,Rep 2
TASK-300328,OPP-243899,Email,2023-09-15,Completed,Rep 24
TASK-300329,OPP-216816,Follow-up,2024-09-16,Completed,Rep 42
TASK-300330,OPP-232119,Proposal Sent,2024-06-18,Completed,Rep 6
TASK-300331,OPP-222510,Call,2025-01-20,Completed,Rep 17
TASK-300332,OPP-207879,Call,2024-11-25,Completed,Rep 33
TASK-300333,OPP-212933,Demo,2024-03-21,Completed,Rep 1
TASK-300334,OPP-223501,Follow-up,2023-10-20,Completed,Rep 14
TASK-300335,OPP-220233,Contract Review,2023-08-03,Open,Rep 29
TASK-300336,OPP-235308,Proposal Sent,2023-12-04,Completed,Rep 4
TASK-300337,OPP-249158,Proposal Sent,2025-03-15,Blocked,Rep 38
TASK-300338,OPP-234070,Call,2024-08-16,Open,Rep 2
TASK-300339,OPP-218465,Email,2023-03-05,Completed,Rep 13
TASK-300340,OPP-238320,Demo,2024-01-30,Completed,Rep 8
TASK-300341,OPP-212262,Call,2024-01-14,Completed,Rep 2
TASK-300342,OPP-247352,Call,2024-08-08,Completed,Rep 24
TASK-300343,OPP-231598,Call,2024-01-13,Completed,Rep 29
TASK-300344,OPP-230821,Contract Review,2023-08-08,Completed,Rep 24
TASK-300345,OPP-213860,Call,2023-11-18,Completed,Rep 32
TASK-300346,OPP-212798,Email,2025-06-22,Completed,Rep 36
TASK-300347,OPP-247592,Call,2024-04-12,Completed,Rep 27
TASK-300348,OPP-203618,Demo,2025-02-23,Open,Rep 27
TASK-300349,OPP-213465,Call,2024-08-19,Completed,Rep 37
TASK-300350,OPP-214758,Email,2024-11-10,Completed,Rep 24
TASK-300351,OPP-247711,Email,2025-04-15,Completed,Rep 20
TASK-300352,OPP-237953,Contract Review,2024-11-05,Completed,Rep 3
TASK-300353,OPP-227085,Proposal Sent,2024-04-01,Completed,Rep 7
TASK-300354,OPP-211054,Call,2024-06-30,Open,Rep 40
TASK-300355,OPP-202230,Demo,2023-07-08,Open,Rep 32
TASK-300356,OPP-201046,Call,2024-07-17,Completed,Rep 32
TASK-300357,OPP-241472,Email,2023-04-27,Completed,Rep 30
TASK-300358,OPP-232798,Email,2024-12-11,Completed,Rep 40
TASK-300359,OPP-242846,Email,2024-11-27,Completed,Rep 25
TASK-300360,OPP-211869,Follow-up,2024-04-26,Open,Rep 32
TASK-300361,OPP-211388,Call,2023-02-28,Completed,Rep 35
TASK-300362,OPP-216070,Proposal Sent,2025-02-22,Completed,Rep 29
TASK-300363,OPP-240264,Demo,2025-03-17,Completed,Rep 19
TASK-300364,OPP-228521,Contract Review,2023-08-28,Completed,Rep 19
TASK-300365,OPP-202601,Call,2023-10-29,Completed,Rep 16
TASK-300366,OPP-222353,Call,2025-05-12,Completed,Rep 39
TASK-300367,OPP-204350,Call,2023-04-23,Completed,Rep 41
TASK-300368,OPP-219331,Call,2024-01-13,Completed,Rep 37
TASK-300369,OPP-215795,Call,2025-06-11,Completed,Rep 36
TASK-300370,OPP-221757,Call,2024-01-18,Completed,Rep 23
TASK-300371,OPP-221977,Demo,2023-10-07,Completed,Rep 34
TASK-300372,OPP-217241,Demo,2023-04-27,Completed,Rep 28
TASK-300373,OPP-229666,Call,2024-10-29,Completed,Rep 18
TASK-300374,OPP-210397,Email,2024-08-02,Completed,Rep 17
TASK-300375,OPP-203449,Follow-up,2025-02-11,Completed,Rep 7
TASK-300376,OPP-204652,Email,2023-09-20,Completed,Rep 8
TASK-300377,OPP-231281,Email,2025-02-18,Open,Rep 42
TASK-300378,OPP-233700,Call,2023-07-25,Completed,Rep 25
TASK-300379,OPP-215915,Demo,2024-03-14,Completed,Rep 9
TASK-300380,OPP-214493,Email,2023-11-04,Open,Rep 14
TASK-300381,OPP-200126,Email,2023-04-07,Completed,Rep 23
TASK-300382,OPP-210698,Call,2024-03-09,Completed,Rep 38
TASK-300383,OPP-221751,Email,2024-06-20,Open,Rep 31
TASK-300384,OPP-241715,Call,2023-04-23,Completed,Rep 42
TASK-300385,OPP-223020,Email,2023-04-27,Open,Rep 7
TASK-300386,OPP-231411,Call,2024-07-31,Completed,Rep 32
TASK-300387,OPP-229714,Demo,2023-03-16,Completed,Rep 14
TASK-300388,OPP-202785,Contract Review,2025-02-17,Completed,Rep 30
TASK-300389,OPP-231082,Proposal Sent,2023-11-05,Completed,Rep 25
TASK-300390,OPP-241804,Email,2023-09-23,Completed,Rep 18
TASK-300391,OPP-221075,Call,2025-04-19,Completed,Rep 11
TASK-300392,OPP-215491,Email,2024-12-25,Completed,Rep 40
TASK-300393,OPP-236017,Follow-up,2025-03-08,Completed,Rep 28
TASK-300394,OPP-222856,Proposal Sent,2024-02-28,Completed,Rep 22
TASK-300395,OPP-231729,Demo,2024-08-21,Completed,Rep 7
TASK-300396,OPP-234700,Email,2023-09-17,Completed,Rep 21
TASK-300397,OPP-207667,Call,2024-03-25,Completed,Rep 34
